grand_theme,icone,theme,sous_theme,point
Nanterre qui crée du lien,Nanterrequicreedulien.png,Faire vivre le commerce de proximité et l'économie sociale et solidaire (ESS),Accompagner les commerçant.e.s,"Développer des projets d'embellissement artistique, notamment par des fresques urbaines "
Nanterre qui crée du lien,Nanterrequicreedulien.png,Faire vivre le commerce de proximité et l'économie sociale et solidaire (ESS),Accompagner les commerçant.e.s,Structurer un parcours commerçant valorisant l'ensemble des quartiers de la Ville
Nanterre qui crée du lien,Nanterrequicreedulien.png,Faire vivre le commerce de proximité et l'économie sociale et solidaire (ESS),Accompagner les commerçant.e.s,Mobiliser les dispositifs de subvention pour embellir les devantures
Nanterre qui crée du lien,Nanterrequicreedulien.png,Faire vivre le commerce de proximité et l'économie sociale et solidaire (ESS),Renforcer et valoriser l'ESS,"Favoriser les partenariats entre entreprises, commerces et acteurs de l'ESS au service de projets d'intérêt collectif"
Nanterre qui crée du lien,Nanterrequicreedulien.png,Faire vivre le commerce de proximité et l'économie sociale et solidaire (ESS),Renforcer et valoriser l'ESS,Renforcer la synergie entre les lieux de l'ESS présents sur le territoire
Nanterre qui crée du lien,Nanterrequicreedulien.png,Faire vivre le commerce de proximité et l'économie sociale et solidaire (ESS),Renforcer et valoriser l'ESS,"Accompagner le développement de tiers-lieux et y soutenir les initiatives portées par les habitant.e.s, notamment autour du ré-emploi et de l'économie circulaire"
Nanterre qui crée du lien,Nanterrequicreedulien.png,Faire vivre le commerce de proximité et l'économie sociale et solidaire (ESS),Renforcer et valoriser l'ESS,Poursuivre le développement de l'économie circulaire en valorisant et en référençant les initiatives existantes
Nanterre qui crée du lien,Nanterrequicreedulien.png,Egalité & lutte contre les discriminations,"Former les agents municipaux à la prévention, l’analyse et la résolution des situations de discrimination",
Nanterre qui crée du lien,Nanterrequicreedulien.png,Egalité & lutte contre les discriminations,Identifier et signaler des lieux refuges pour renforcer la sécurité des personnes LGBTQIA+,
Nanterre qui crée du lien,Nanterrequicreedulien.png,Egalité & lutte contre les discriminations,Lutter contre la fracture numérique,
Nanterre qui crée du lien,Nanterrequicreedulien.png,Egalité & lutte contre les discriminations,Poursuivre la mobilisation de la Ville à travers les journées du programme Nanterre lutte pour l’égalité,
Nanterre qui crée du lien,Nanterrequicreedulien.png,Vie associative,Maintenir la fête de l’engagement comme temps fort de la vie associative,
Nanterre qui crée du lien,Nanterrequicreedulien.png,Vie associative,Poursuivre le programme de formation à destination des bénévoles,
Nanterre qui crée du lien,Nanterrequicreedulien.png,Vie associative,Ouvrir une nouvelle salle associative dans le quartier du Vieux-Pont,
Nanterre qui crée du lien,Nanterrequicreedulien.png,Vie associative,Poursuivre le soutien aux actions d’accès aux droits,
Nanterre qui crée du lien,Nanterrequicreedulien.png,Faire vivre toutes les mémoires,Travail mémoriel,Poursuivre le travail mémoriel engagé par La Ville avec les habitant.e.s et les associations
Nanterre qui crée du lien,Nanterrequicreedulien.png,Faire vivre toutes les mémoires,Travail mémoriel,Inscrire la mémoire des bidonvilles dans l’espace public
Nanterre qui crée du lien,Nanterrequicreedulien.png,Faire vivre toutes les mémoires,Transmission,Associer davantage les écoles et/ou collèges aux commémorations
Nanterre qui crée du lien,Nanterrequicreedulien.png,Faire vivre toutes les mémoires,Transmission,Construire avec les enfants un dictionnaire participatif des noms de rues
Nanterre qui crée du lien,Nanterrequicreedulien.png,Faire vivre toutes les mémoires,Transmission,Ajouter une biographie aux nouvelles plaques de rues
Nanterre qui crée du lien,Nanterrequicreedulien.png,Ville-monde,Renforcer les coopérations internationales,Formaliser et consolider le jumelage avec la ville d'Aïzaria en Palestine
Nanterre qui crée du lien,Nanterrequicreedulien.png,Ville-monde,Renforcer les coopérations internationales,Lancer un financement participatif à destination des Nanterrien.ne.s pour soutenir le projet d'accès à l'eau potable à Aïzaria
Nanterre qui crée du lien,Nanterrequicreedulien.png,Ville-monde,Renforcer les coopérations internationales,"Développer et structurer les échanges de jeunes avec les villes jumelées, notamment autour de la culture, du sport et de la citoyenneté"
Nanterre qui crée du lien,Nanterrequicreedulien.png,Ville-monde,Faire vivre les valeurs de solidarité et de droits humains,Conditionner les achats publics et les partenariats municipaux au respect des droits humains et des principes fondamentaux de solidarité internationale
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,Amplifier la mobilisation municipale sur les titres de séjour et accompagner les habitant·e·s dans leurs démarches de renouvellement,
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,"Étudier la mise en place d’un dispositif de type Fonds de solidarité Logement, sous conditions, pour les personnes en rupture de droits du fait de l’allongement des délais de traitement de leur demande de renouvellement",
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,Se mobiliser pour garantir un haut niveau de subvention de l’État pour les associations,
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,Poursuivre la mobilisation contre les coupes budgétaires,
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,Continuer à se mobiliser contre le non-remplacement des enseignant·es,
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,Poursuivre la vigilance et la mobilisation contre les fermetures de classes,
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,Contribuer à lancer un mouvement des villes résistantes/refuges face aux dangers de l’extrême-droite,
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,Poursuivre la mobilisation pour l’accès au droit des personnes porteuses de handicap pour l’obtention de moyens pour la Maison Départementale des Personnes Handicapées,
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,Mettre en place une charte de transparence de la vie publique signée par l’ensemble des élu·e·s de la majorité,
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,Participer aux mobilisations visant à lutter contre toutes les formes de discrimination,
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,Exiger un moratoire sur les fermetures de classes dans le 1er degré,
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,Se mobiliser en faveur du droit de vote et d’éligibilité des résidents étrangers aux élections locales,
Nanterre qui résiste,Nanterrequiresiste.png,Nos combats,S’associer aux mobilisations en faveur de la paix et du droit international,
