date,heure,titre,lieu,description,type
2026-03-07,20h,Grand repas partagé au Petit-Nanterre,Ecole des Pâquerettes - 10 rue des Aubépines,Rencontrez l'équipe de la liste Choisir Nanterre autour d'un repas.
2026-03-12,20h,Grand meeting avec Raphaël Adam,Salle des congrès - Hôtel de Ville 88 rue du 8 Mai 1945,Toutes et tous mobilisés pour gagner !
2026-03-15,8h,1er tour des élections municipales,bureaux de vote,Face à la droite ne dispersez pas vos voix votez la liste Choisir Nanterre avec Raphaël Adam !
